Date,BKR_Open,BKR_Close,BKR_Volume,CVX_Open,CVX_Close,CVX_Volume,HAL_Open,HAL_Close,HAL_Volume,SLB_Open,SLB_Close,SLB_Volume,CTRA_Open,CTRA_Close,CTRA_Volume,Dias
2000-01-03,10.471120198567709,9.6656494140625,1468700,18.33009121129331,17.84982681274414,4387600,14.26384787847323,13.51427936553955,3490800,18.042638103845313,17.819639205932617,7239800,1.0225833635885453,0.9430046677589417,1306800,Lunes
2000-01-04,9.576152660228589,9.6656494140625,2082300,17.703079357631893,17.84982681274414,3702400,13.24971913207661,13.580410957336426,4968200,17.49527022637848,17.57636070251465,7963000,0.9350466185020656,0.9151524901390076,334800,Martes
2000-01-05,9.725316047668457,9.725316047668457,1833700,17.729752200290495,18.169994354248047,5567600,13.227675847570033,12.98516845703125,7524600,17.53582000732422,17.53582000732422,4826200,0.9071946969399086,0.9310682415962219,363600,Miercoles
2000-01-06,9.874481690030137,10.650120735168457,2234700,18.21003007217192,18.943767547607422,4353400,12.985172179939308,13.51427936553955,8868600,17.637183263704372,18.731904983520508,8005000,0.9270891291443021,0.9509626626968384,538800,Jueves
2000-01-07,10.858940545029528,11.3660888671875,2810600,19.210569810702314,19.277273178100586,4487400,13.844971599666755,14.352032661437988,8737400,18.954908034499976,19.0765438079834,7368600,0.9509627023206955,0.9907516837120056,388800,Viernes
2000-01-10,11.395926679699079,11.00810718536377,2274100,19.223925821133392,18.757001876831055,2104800,14.572484106445312,13.778823852539062,5440000,19.056263130589535,19.258989334106445,5301600,0.9987101559490837,0.9549417495727539,766800,Lunes
2000-01-11,11.336256173940805,11.246759414672852,2001100,18.756987799694446,18.583559036254883,2791200,13.911109198758632,14.285893440246582,5752000,19.319810684251344,19.64417266845703,5525600,0.9509629081313306,0.9191312789916992,723600,Martes
2000-01-12,11.008105826377868,10.739615440368652,1358000,18.583562437326833,18.51685905456543,2992600,14.109523343724131,13.315862655639648,5840600,19.481990238177612,19.19817352294922,4767600,0.9191317003753056,0.9032162427902222,547200,Miercoles
2000-01-13,10.73961544036865,10.739615440368652,1534800,18.463495149687304,18.69028663635254,3253400,13.514277498706493,13.492231369018555,7705200,19.258991942513404,19.745534896850586,4431000,0.9071943759918213,0.9071943759918213,1940400,Jueves
2000-01-14,10.76944525687249,10.858942031860352,1824700,18.316746222561804,18.570219039916992,3673000,13.580419494035372,13.602465629577637,7083000,19.8469000424796,19.94826316833496,4340400,0.9071948499945542,0.92311030626297,1100400,Viernes
2000-01-18,10.739615304129464,11.276596069335938,4190800,18.676946011350402,19.063825607299805,4317400,13.514278080152428,14.704769134521484,12708400,20.110439942329275,21.44843292236328,10215200,0.9231099454855799,0.9708570241928101,1957200,Martes
2000-01-19,11.24676015218099,11.187095642089844,2186500,18.99712963416039,18.77033805847168,5027000,14.704770691483109,14.881139755249023,7712000,21.40789105815272,21.367345809936523,6894200,0.9748365040383457,0.9668784141540527,2683200,Miercoles
